date,volume,open,close,high,low,symbol
2008-01-11,44010011.0,176.0,172.69,177.85,170.0,AAPL
2008-01-14,39301574.0,177.52,178.78,179.42,175.17,AAPL
2008-01-15,83937622.0,177.72,169.04,179.22,164.66,AAPL
2008-01-16,79191989.0,165.23,159.64,169.01,156.7,AAPL
2008-01-17,62853413.0,161.51,160.89,165.36,158.42,AAPL
2008-01-18,61583651.0,161.71,161.36,165.75,159.61,AAPL
2008-01-22,86963480.0,148.06,157.05,159.98,146.0,AAPL
2008-01-23,120465792.0,136.19,139.0,140.0,126.14,AAPL
2008-01-24,71638013.0,139.99,135.6,140.7,132.01,AAPL
2008-01-25,55526314.0,138.99,130.01,139.09,129.61,AAPL
2008-01-28,52672974.0,128.16,130.01,133.2,126.45,AAPL
2008-01-29,39285086.0,131.15,131.54,132.79,129.05,AAPL
2008-01-30,44394619.0,131.37,132.18,135.45,130.0,AAPL
2008-01-31,48059713.0,129.45,135.36,136.65,129.4,AAPL
2008-02-01,36097982.0,136.24,133.75,136.59,132.18,AAPL
2008-02-04,32115481.0,134.21,131.65,135.9,131.42,AAPL
2008-02-05,40749491.0,130.43,129.36,134.0,128.9,AAPL
2008-02-06,56188205.0,130.83,122.0,131.92,121.77,AAPL
2008-02-07,74450275.0,119.97,121.24,124.78,117.27,AAPL
2008-02-08,48427520.0,122.08,125.48,125.7,121.6,AAPL
2008-02-11,42908217.0,128.03,129.45,129.98,127.2,AAPL
2008-02-12,43784943.0,130.7,124.86,131.0,123.62,AAPL
2008-02-13,34590469.0,126.68,129.4,129.78,125.63,AAPL
2008-02-14,34078228.0,129.4,127.46,130.8,127.01,AAPL
2008-02-15,32189246.0,126.27,124.63,127.08,124.06,AAPL
2008-02-19,35894478.0,125.99,122.18,126.75,121.44,AAPL
2008-02-20,34551356.0,122.2,123.82,124.6,121.68,AAPL
2008-02-21,33500904.0,126.05,121.54,126.47,120.86,AAPL
2008-02-22,54638437.0,122.48,119.46,122.51,115.87,AAPL
2008-02-25,44884325.0,118.59,119.74,120.17,116.664,AAPL
2008-02-26,53745439.0,117.64,119.15,121.09,115.44,AAPL
2008-02-27,52683413.0,118.23,122.96,123.05,118.09,AAPL
2008-02-28,57794704.0,127.2,129.91,132.2,125.77,AAPL
